CustomerID,CustomerName, ContactName,Address,City,PostalCode,Country
1,Eco Shopper,Alice Johnson,789 Eco Ave,EcoTown,ET789,EcoCountry
2,Green Buyer,Bob Brown,321 Green St,EcoVille,EV321,EcoLand
3,Sustainable Living Co.,Sarah Miller,456 Sustainability Blvd,Greenview,GV456,EcoNation
4,Natural Choice Emporium,David Wilson,123 Earthy Lane,EcoCity,EC123,EcoTopia
5,EcoConscious Goods,Emma Davis,567 Renewable Road,EcoValley,EV567,Greenlands
6,Green Living Supplies,Oliver Thompson,789 Leafy Lane,Sustainaville,SV789,EcoFields
7,EcoFriendly Finds,Sophie Garcia,234 Eco Avenue,Greenburgh,GB234,EcoNation
8,Earthly Delights Emporium,Liam Wilson,901 Greenway,EcoCentral,EC901,Sustainia
9,Renewable Living Co.,Mia Johnson,567 Recycle Road,EcoVista,EV567,Greenlandia
10,EcoEssentials Market,Ava Lee,345 Eco Terrace,SustainCity,SC345,EcoHaven
