OrderID,CustomerID,OrderDate,ShipDate,ShipAddress,ShipCity,ShipPostalCode,ShipCountry
1,1,2023-11-01,2023-11-05,789 Eco Ave,EcoTown,ET789,EcoCountry
2,2,2023-11-03,2023-11-08,321 Green St,EcoVille,EV321,EcoLand
3,3,2023-11-07,2023-11-12,456 Sustainability Blvd,Greenview,GV456,EcoNation
4,4,2023-11-10,2023-11-15,123 Earthy Lane,EcoCity,EC123,EcoTopia
5,5,2023-11-15,2023-11-20,567 Renewable Road,EcoValley,EV567,Greenlands
6,6,2023-11-18,2023-11-23,789 Leafy Lane,Sustainaville,SV789,EcoFields
7,7,2023-11-21,2023-11-26,234 Eco Avenue,Greenburgh,GB234,EcoNation
8,8,2023-11-24,2023-11-29,901 Greenway,EcoCentral,EC901,Sustainia
9,9,2023-11-28,2023-12-03,567 Recycle Road,EcoVista,EV567,Greenlandia
10,10,2023-12-01,2023-12-06,345 Eco Terrace,SustainCity,SC345,EcoHaven
11,4,2077-10-12,2077-10-15,123 Earthy Lane,EcoCity,EC123,EcoTopia
