ProductID,ProductName,SupplierID,Category,UnitPrice,UnitsInStock
1,Bamboo Toothbrush,1,Personal Care,2.99,100
2,Reusable Water Bottle,1,Outdoor,10.50,200
3,Organic Cotton T-shirt,2,Clothing,15.99,150
4,Recycled Notebook,3,Stationery,4.75,80
5,Solar-Powered Lantern,4,Outdoor,19.99,120
6,Food Containers,5,Kitchen,12.49,150
7,Fair Trade Coffee,6,Beverages,8.99,250
8,Recycled Plastic Backpack,7,Accessories,29.99,90
9,Natural Wood Cutting Board,8,Kitchen,18.75,110
10,Biodegradable Straws,9,Kitchen,3.49,300
12,Cutting Boards,9,Kitchen,5.49,350
13,Pillow,7,Accessories,4.50,0
