1,EcoFriendly Ltd,John Doe,123 Green Road,EcoCity,EC123,Ecoland,123-456-7890
2,NatureGoods Inc,Jane Smith,456 Natural Way,GreenVille,GV456,Greenland,987-654-3210
3,Business First,Rocio Avila,2923 Lakewood Avenue,Rockwood,SL564,El Salvador,887-345-2232
4,All Goods,Andrea Vasquez,342 Lemon Street,And City,IL098,Iceland,562-104-2333
5,Half Foods,Elijah Guerrero,1289 Firewood Way,Aurorvale,ID322,Indonesia,310-335-6755
6,Wellmart,Carson LeSage,213 Rain Avenue,Veridian Reach,FL991,Finland,561-045-9597
7,Nature Enterprises,Magic Johnson,567 Pine Street,Sustainaville,SV890,Slovania,456-789-0123
8,Renewable Horizons Inc.,Jessica Clark,678 Birch Avenue,Green Haven,GH789,England,567-890-1234
9,EarthWise Enterprises,Sarah Brown,101 Yellow Lane,GreenVista,GV101,EcoLandia,222-333-4444
10,EcoHarmony Innovations,Liam Taylor,901 Willow Street,EcoMeadow,EM234,Greenfield,234-567-8901
